chr,start,end,n,meanDiff,group1.mean,group2.mean,tstat.sd,direction,fwer
chr10,43893578,43894083,11,-0.518257246,0.24351023,0.761767476,0.076421638,hypo,0
chr4,190786449,190786629,3,-0.517753192,0.359288409,0.877041602,0.054078809,hypo,0
chr16,29743266,29743862,12,-0.517688667,0.203042092,0.720730758,0.055279259,hypo,0
chr1,53649069,53649255,3,-0.517010038,0.273210428,0.790220466,0.060115781,hypo,0
chr7,75779908,75779973,5,-0.516988083,0.334262689,0.851250772,0.066228654,hypo,0
chr18,75679327,75679444,4,-0.516899106,0.266735268,0.783634375,0.058158485,hypo,0
chr1,79089186,79089459,3,-0.51689016,0.321904772,0.838794932,0.065539228,hypo,0
chr12,108934399,108935609,22,-0.516176991,0.2466318,0.762808791,0.056824054,hypo,0
chr10,52176355,52177329,11,-0.516106072,0.304305066,0.820411138,0.055189075,hypo,0
chr12,125400159,125401154,9,-0.515677499,0.213876563,0.729554062,0.057450197,hypo,0
chr10,130002988,130003188,3,-0.514627728,0.330452505,0.845080233,0.054307938,hypo,0
chr19,39050264,39050832,7,-0.514277905,0.109760402,0.624038307,0.075614139,hypo,0
chr16,12632861,12633809,10,-0.511980286,0.340345891,0.852326177,0.063530864,hypo,0
chr22,37558241,37560379,28,-0.511918997,0.112550385,0.624469382,0.062084562,hypo,0
chr6,44615594,44616315,6,-0.511799985,0.362812015,0.874612,0.053149292,hypo,0
chr5,171922081,171922661,9,-0.511770875,0.384929289,0.896700163,0.057367318,hypo,0
chr10,81003880,81004348,11,-0.511608229,0.117618234,0.629226463,0.074042638,hypo,0
chr17,4299309,4299540,5,-0.510180478,0.152229514,0.662409993,0.081392805,hypo,0
chr22,31889546,31890717,25,-0.509167067,0.216913593,0.72608066,0.065188703,hypo,0
chr1,247187841,247188226,5,-0.508912602,0.392965816,0.901878418,0.05718192,hypo,0
chr13,22273904,22274339,7,-0.508829466,0.323787813,0.832617279,0.052726804,hypo,0
chr5,24455361,24455462,3,-0.508550443,0.340480457,0.849030899,0.053159618,hypo,0
chr11,61507977,61508451,11,-0.507414277,0.429440801,0.936855078,0.058299976,hypo,0
chr10,52271425,52272624,9,-0.505743645,0.333952937,0.839696582,0.053255607,hypo,0
chr20,58162423,58163012,7,-0.505451648,0.349824936,0.855276584,0.057248756,hypo,0
chr20,49619776,49619949,3,-0.503901998,0.309168274,0.813070272,0.055608766,hypo,0
chr10,112258886,112261195,36,-0.503135811,0.261696878,0.764832689,0.066638952,hypo,0
chr10,35417163,35417434,7,-0.503127464,0.154891988,0.658019452,0.059917981,hypo,0
chr1,3573509,3573569,4,-0.502926975,0.149498255,0.65242523,0.083211863,hypo,0
chr9,3523885,3524269,3,-0.502722891,0.086769713,0.589492604,0.053273403,hypo,0
chr13,113422346,113422635,11,-0.502313567,0.317170872,0.819484438,0.075734345,hypo,0
chr4,48197243,48197555,4,-0.501953933,0.22667232,0.728626253,0.060572501,hypo,0
chr17,27051766,27052478,16,-0.501165119,0.188904935,0.690070054,0.060811161,hypo,0
chr1,25357005,25357289,4,-0.500896327,0.302772765,0.803669092,0.063655778,hypo,0
chr21,44582323,44582528,8,-0.498766168,0.24878378,0.747549947,0.077823048,hypo,0
chr16,58552053,58552883,9,-0.498333499,0.297573761,0.79590726,0.060841763,hypo,0
chr7,101633272,101633518,5,-0.497999008,0.312950608,0.810949616,0.073290538,hypo,0
chr19,19280139,19280424,3,-0.497763488,0.296287417,0.794050905,0.08829266,hypo,0
chr4,48199916,48200086,3,-0.497482312,0.361047801,0.858530113,0.059248291,hypo,0
chr8,142193405,142193461,5,-0.497300323,0.200674299,0.697974622,0.083305771,hypo,0
chr1,76254925,76255065,3,-0.496985097,0.226900313,0.72388541,0.056031788,hypo,0
chr3,171000384,171001642,13,-0.496785217,0.258621793,0.755407009,0.055039087,hypo,0
chr6,73333620,73333937,5,-0.495982946,0.106447918,0.602430864,0.062065311,hypo,0
chr6,167506851,167507410,20,-0.495207259,0.093756641,0.5889639,0.060795452,hypo,0
chr10,98751960,98752404,5,-0.49507457,0.408782498,0.903857068,0.064239346,hypo,0
chr15,74655294,74655830,7,-0.494991677,0.431583054,0.926574731,0.05810109,hypo,0
chr1,225814020,225814659,5,-0.494885127,0.39965414,0.894539267,0.053271514,hypo,0
chr14,22933644,22933961,4,-0.49383855,0.359108136,0.852946686,0.056218649,hypo,0
chr16,2013473,2013630,7,-0.493617754,0.215383972,0.709001726,0.080635263,hypo,0
chr1,79087585,79087918,3,-0.493555191,0.234867934,0.728423125,0.065539228,hypo,0
chr11,348519,348590,4,-0.493320829,0.294311007,0.787631836,0.085514893,hypo,0
chr16,71851857,71852608,17,-0.49271863,0.124859949,0.61757858,0.072411044,hypo,0
chr12,105725849,105726019,4,-0.492334829,0.24368852,0.736023348,0.062205817,hypo,0
chr6,73398945,73399952,14,-0.491796096,0.347527362,0.839323458,0.052346499,hypo,0
chr12,49762879,49763288,11,-0.491779775,0.212996545,0.70477632,0.055788783,hypo,0
chr10,134139904,134140240,11,-0.490272185,0.223217753,0.713489938,0.056768813,hypo,0
chr17,33359273,33359723,5,-0.490199962,0.333104846,0.823304809,0.077389873,hypo,0
chr8,132050454,132050549,3,-0.490153833,0.314359146,0.804512979,0.058319025,hypo,0
chr6,27859476,27859991,18,-0.490098724,0.080355634,0.570454358,0.05333183,hypo,0
chr1,235106948,235108116,17,-0.489449364,0.361932152,0.851381516,0.063944452,hypo,0
chr12,123926156,123926997,19,-0.489325001,0.362637412,0.851962413,0.061747457,hypo,0
chr12,66128297,66128799,4,-0.489159292,0.35004643,0.839205722,0.059371245,hypo,0
chr7,100015391,100016286,15,-0.488659495,0.424329553,0.912989048,0.060423634,hypo,0
chr19,6527780,6528101,7,-0.488559369,0.109953719,0.598513089,0.06449078,hypo,0
chr12,130404795,130404966,5,-0.488434153,0.305770892,0.794205046,0.055181413,hypo,0
chr2,242822635,242822887,8,-0.487853593,0.326072025,0.813925618,0.073797164,hypo,0
chr12,50443728,50444002,3,-0.48771936,0.342068274,0.829787634,0.064121513,hypo,0
chr2,65456162,65456209,4,-0.487666399,0.15293917,0.640605569,0.068604538,hypo,0
chr16,71850787,71851342,11,-0.487626964,0.04969457,0.537321534,0.072411044,hypo,0
chr12,2208936,2209409,6,-0.48725749,0.356097532,0.843355022,0.054272871,hypo,0
chr19,31757855,31757948,4,-0.486729955,0.403754673,0.890484628,0.056088306,hypo,0
chr9,137284063,137284217,3,-0.48662722,0.202037715,0.688664935,0.069949954,hypo,0
chr18,56339912,56340167,6,-0.485408807,0.258713578,0.744122384,0.056059187,hypo,0
chr20,61883856,61884235,4,-0.485347896,0.275396005,0.760743901,0.059486716,hypo,0
chr17,76016225,76016793,6,-0.485089787,0.410513729,0.895603516,0.062445313,hypo,0
chr7,73280145,73280580,4,-0.484601304,0.349794128,0.834395432,0.054339503,hypo,0
chr15,59701784,59703098,15,-0.484470598,0.317110969,0.801581568,0.062951565,hypo,0
chr14,103245538,103246119,7,-0.48408635,0.301651744,0.785738094,0.063875749,hypo,0
chr5,96293928,96295039,16,-0.483401442,0.140436184,0.623837625,0.061136693,hypo,0
chr14,71990737,71991145,4,-0.483054405,0.347068365,0.830122771,0.055601366,hypo,0
chr10,126713757,126714015,6,-0.482768298,0.205345438,0.688113736,0.061700027,hypo,0
chr15,65924083,65924457,9,-0.482580796,0.290005772,0.772586569,0.055091583,hypo,0
chr22,37615187,37616079,15,-0.482491907,0.100862521,0.583354428,0.077293568,hypo,0
chr20,47896080,47898029,26,-0.482389177,0.127328015,0.609717192,0.070760515,hypo,0
chr21,40504086,40504446,4,-0.481508226,0.386857188,0.868365414,0.059605819,hypo,0
chr7,27220111,27220406,3,-0.481431941,0.418556961,0.899988903,0.081367852,hypo,0
chr12,57577459,57577659,8,-0.481350259,0.410054308,0.891404567,0.064583376,hypo,0
chr2,172176270,172177062,9,-0.481209944,0.095984814,0.577194758,0.058863315,hypo,0
chr10,71079559,71079911,8,-0.480209374,0.240217904,0.720427278,0.063305584,hypo,0
chr5,150218653,150218806,3,-0.480084971,0.364576833,0.844661804,0.053969786,hypo,0
chr1,11045114,11045898,13,-0.479979272,0.281074357,0.761053628,0.069487582,hypo,0
chr17,38016436,38016897,5,-0.479429108,0.236474504,0.715903613,0.054689109,hypo,0
chr19,49379502,49379526,3,-0.479188868,0.214204456,0.693393324,0.071971858,hypo,0
chr2,43651420,43652423,8,-0.4791735,0.203605368,0.682778868,0.052483698,hypo,0
chr3,14601243,14602383,10,-0.478761119,0.296807545,0.775568664,0.056367994,hypo,0
chr21,37913811,37914423,7,-0.477894033,0.386602014,0.864496047,0.057103988,hypo,0
chr10,112261562,112262095,6,-0.477259764,0.206054032,0.683313795,0.066540525,hypo,0
chr1,22107788,22108181,20,-0.477165732,0.244519149,0.721684881,0.065304504,hypo,0
chr2,97662061,97662731,8,-0.477146149,0.458827534,0.935973683,0.052913104,hypo,0
chr20,32250620,32250879,7,-0.476738764,0.374578475,0.851317239,0.056652317,hypo,0
chr1,167035083,167035339,4,-0.476710485,0.312626826,0.789337311,0.055930794,hypo,0
chr1,47653879,47654140,3,-0.476499441,0.352793279,0.82929272,0.061423682,hypo,0
chr7,102072752,102073158,8,-0.476310574,0.073468841,0.549779415,0.063563633,hypo,0
chr5,122302836,122304028,23,-0.476121561,0.31324812,0.789369682,0.056852683,hypo,0
chr3,121749587,121750006,4,-0.4760751,0.405591579,0.881666678,0.053287912,hypo,0
chr6,16413998,16414522,7,-0.475983632,0.277377241,0.753360873,0.074868825,hypo,0
chr22,21028654,21029039,4,-0.47589305,0.381521008,0.857414058,0.074023118,hypo,0
chr1,3156097,3156250,3,-0.475850741,0.340160456,0.816011197,0.064099407,hypo,0
chr2,128458069,128458401,12,-0.475686761,0.193959462,0.669646223,0.065950803,hypo,0
chr17,40544930,40545663,10,-0.475139103,0.270445354,0.745584456,0.064861916,hypo,0
chr2,97661232,97661759,7,-0.474602001,0.459779515,0.934381516,0.055438935,hypo,0
chr6,27783986,27784091,9,-0.474582748,0.373700858,0.848283607,0.07562309,hypo,0
chr17,20734698,20735500,7,-0.474489939,0.432000238,0.906490177,0.063573271,hypo,0
chr2,19980633,19980920,3,-0.474466494,0.360075116,0.834541609,0.053292751,hypo,0
chr11,61596959,61598048,15,-0.474449458,0.29331699,0.767766448,0.062500386,hypo,0
chr1,28835351,28837350,27,-0.474098365,0.17099806,0.645096425,0.068083243,hypo,0
chr10,89824632,89824691,3,-0.474029495,0.226377701,0.700407196,0.058682826,hypo,0
chr2,494264,494600,5,-0.473779868,0.463296652,0.93707652,0.056335554,hypo,0
chr6,26030392,26031537,10,-0.473737768,0.320581262,0.79431903,0.056710487,hypo,0
chr15,52042540,52043103,7,-0.473636743,0.173079529,0.646716272,0.062134662,hypo,0
chr15,64539036,64539250,5,-0.473316867,0.372207249,0.845524115,0.052794144,hypo,0
chr7,102790383,102790427,3,-0.473220397,0.424253128,0.897473526,0.080775688,hypo,0
chr1,37941179,37942047,15,-0.473048447,0.162369293,0.635417739,0.074665056,hypo,0
chr7,2335212,2336433,17,-0.473009349,0.331826494,0.804835843,0.06290637,hypo,0
chr7,26007698,26008067,12,-0.472617201,0.082914692,0.555531893,0.061115881,hypo,0
chr22,47122752,47123032,13,-0.472479184,0.308270478,0.780749662,0.074594178,hypo,0
chr7,117438374,117438660,3,-0.47247793,0.37020999,0.84268792,0.058169047,hypo,0
chr3,169975538,169975719,9,-0.472251073,0.357641217,0.829892289,0.052044979,hypo,0
chrX,7064491,7064961,5,-0.472210297,0.272175188,0.744385485,0.074437869,hypo,0
chr1,54841846,54842464,10,-0.472152052,0.289606432,0.761758484,0.061986395,hypo,0
chr10,89824151,89824246,3,-0.471803294,0.239975894,0.711779188,0.058682826,hypo,0
chr14,64191856,64193118,18,-0.471727878,0.283326312,0.75505419,0.062660745,hypo,0
chr14,65770155,65771234,16,-0.471446385,0.18138268,0.652829066,0.058383868,hypo,0
chr6,56973984,56974265,3,-0.471365151,0.326963646,0.798328797,0.054468784,hypo,0
chr3,196166717,196168685,23,-0.471184121,0.235259491,0.706443612,0.05311852,hypo,0
chr6,30684039,30684478,15,-0.470596456,0.230213747,0.700810203,0.06190729,hypo,0
chr22,27070119,27070304,5,-0.470361267,0.096750037,0.567111304,0.06141024,hypo,0
chr18,77116603,77116778,5,-0.470037061,0.290749208,0.760786269,0.07616389,hypo,0
chr9,129402980,129403189,5,-0.470002283,0.369477815,0.839480098,0.058310535,hypo,0
chr1,65429366,65430118,6,-0.469670666,0.155152831,0.624823497,0.055192095,hypo,0
chr15,101460947,101461412,6,-0.469490382,0.276785615,0.746275997,0.060164683,hypo,0
chr1,8532839,8534565,11,-0.46947253,0.285933351,0.75540588,0.054599339,hypo,0
chr14,96129371,96129824,9,-0.469436649,0.073250609,0.542687258,0.07407648,hypo,0
chr22,42015489,42015905,6,-0.469092351,0.218051248,0.687143599,0.057649462,hypo,0
chr14,68649293,68649516,5,-0.468928844,0.334823326,0.80375217,0.051873242,hypo,0
chr15,88794602,88794830,3,-0.468918887,0.36511067,0.834029557,0.056913426,hypo,0
chr9,6682371,6683062,21,-0.468390068,0.173978967,0.642369036,0.0648044,hypo,0
chr20,47664199,47664310,7,-0.468378071,0.197452056,0.665830126,0.060678782,hypo,0
chr2,43629759,43630006,3,-0.467850737,0.318358688,0.786209425,0.057881015,hypo,0
chr11,7533371,7533538,4,-0.467671209,0.140383468,0.608054677,0.056835204,hypo,0
chr10,134866871,134867210,9,-0.46761693,0.410878053,0.878494982,0.065295285,hypo,0
chr6,389612,390547,17,-0.467551919,0.098710968,0.566262887,0.056372803,hypo,0
chr11,117868687,117869026,7,-0.467100119,0.376632927,0.843733045,0.070715937,hypo,0
chr1,111041309,111041667,4,-0.466661355,0.404986222,0.871647578,0.053361686,hypo,0
chr12,6208435,6208930,6,-0.466174139,0.394591709,0.860765849,0.058212132,hypo,0
chr9,129417806,129418278,8,-0.466166997,0.391766431,0.857933428,0.059194566,hypo,0
chr16,58553203,58553531,3,-0.465906111,0.316217652,0.782123764,0.060841763,hypo,0
chr12,40619603,40619727,4,-0.465902049,0.06211428,0.528016329,0.067005608,hypo,0
chr19,43016748,43017897,20,-0.465834626,0.400828114,0.86666274,0.05606368,hypo,0
chr8,1903789,1904229,6,-0.465652173,0.37758223,0.843234404,0.059624412,hypo,0
chr12,58291403,58291577,3,-0.465639736,0.312448225,0.77808796,0.069161775,hypo,0
chr6,106615255,106615506,6,-0.465458659,0.386783429,0.852242087,0.068144655,hypo,0
chr17,37735078,37735504,3,-0.464501949,0.447903045,0.912404995,0.062803289,hypo,0
chr12,54583403,54583569,3,-0.464423373,0.304971906,0.769395279,0.067484355,hypo,0
chr7,43907879,43907977,4,-0.464391358,0.312224848,0.776616206,0.058272242,hypo,0
chr1,224369598,224369994,8,-0.464078564,0.283330261,0.747408825,0.059567892,hypo,0
chr12,11933476,11934851,16,-0.463996942,0.244587464,0.708584405,0.06008726,hypo,0
chr8,140725768,140725985,4,-0.463746369,0.400215323,0.863961691,0.05732588,hypo,0
chr18,9061549,9061779,5,-0.463655088,0.292405869,0.756060957,0.072863946,hypo,0
chr1,79089779,79090199,8,-0.46362256,0.396129846,0.859752406,0.065539228,hypo,0
chr2,191883289,191883686,4,-0.463617755,0.523739085,0.98735684,0.058868856,hypo,0
chr10,50742776,50743087,9,-0.463577036,0.237245082,0.700822119,0.060844949,hypo,0
chr1,111042094,111042603,6,-0.463241332,0.418235372,0.881476704,0.053369456,hypo,0
chr17,42696155,42696478,11,-0.463192673,0.413196222,0.876388895,0.062651573,hypo,0
chr8,29381060,29381775,10,-0.463070117,0.333972222,0.797042339,0.059918513,hypo,0
chr21,37661152,37662173,12,-0.462870383,0.332289595,0.795159978,0.061483641,hypo,0
chr10,89825036,89825247,3,-0.462805385,0.223243379,0.686048763,0.058682826,hypo,0
chr4,105411270,105411438,3,-0.462648443,0.077753574,0.540402017,0.061466728,hypo,0
chr10,52268183,52268502,5,-0.461975199,0.398015103,0.859990302,0.053255607,hypo,0
chr1,207670368,207671615,18,-0.461023691,0.163900935,0.624924625,0.060448242,hypo,0
chr5,74808536,74808973,15,-0.460899087,0.384940923,0.84584001,0.061752891,hypo,0
chr22,31884312,31884762,7,-0.460865757,0.276250379,0.737116137,0.062936132,hypo,0
chr13,42847561,42849330,19,-0.460696882,0.317661886,0.778358768,0.053463314,hypo,0
chr15,59595833,59596567,18,-0.460607281,0.410219486,0.870826767,0.05921049,hypo,0
chr3,42236981,42237460,7,-0.460553135,0.352853083,0.813406219,0.065196148,hypo,0
chr1,206728940,206729685,16,-0.460366956,0.338760117,0.799127073,0.055572508,hypo,0
chr2,242931296,242931455,5,-0.460344843,0.295122326,0.755467168,0.055498889,hypo,0
chr2,191884348,191884496,3,-0.460112401,0.493745114,0.953857515,0.058868856,hypo,0
chr1,206942346,206943235,19,-0.459878171,0.300576822,0.760454993,0.064491494,hypo,0
chr1,6549700,6549784,3,-0.459582323,0.430351957,0.889934279,0.061791637,hypo,0
chr2,85165333,85165791,4,-0.459581963,0.186467378,0.646049341,0.065117907,hypo,0
chr8,6274825,6275946,15,-0.459567058,0.293117346,0.752684405,0.065182018,hypo,0
chr2,172288917,172289187,3,-0.458537098,0.37561006,0.834147159,0.054719593,hypo,0
chr11,118566285,118567024,15,-0.458504952,0.27631424,0.734819192,0.062453761,hypo,0
chr8,30583924,30584211,8,-0.458267829,0.386420192,0.844688021,0.067768482,hypo,0
chr10,105451229,105451802,6,-0.457940126,0.191223885,0.649164012,0.062605977,hypo,0
chr5,156347132,156348562,13,-0.457451331,0.414374008,0.871825339,0.054536943,hypo,0
chr14,24780904,24780931,3,-0.457407597,0.221433892,0.678841489,0.076662592,hypo,0
chr15,59662722,59663431,9,-0.457039468,0.186223058,0.643262526,0.059149509,hypo,0
chr8,128808194,128808962,14,-0.456584591,0.249149019,0.705733611,0.061539524,hypo,0
chr9,71322755,71323031,3,-0.456243953,0.089006674,0.545250627,0.053804746,hypo,0
chr2,219758502,219758572,4,-0.455701137,0.069024398,0.524725535,0.053169715,hypo,0
chr8,49012122,49012312,3,-0.455694714,0.410254358,0.865949071,0.054261576,hypo,0
chr2,8745837,8746002,7,-0.455538948,0.488200203,0.94373915,0.061792886,hypo,0
chr19,2610384,2610631,6,-0.455482358,0.064864726,0.520347084,0.067562814,hypo,0
chr6,17704771,17705083,8,-0.455445837,0.174102686,0.629548522,0.080350531,hypo,0
chr10,102107858,102108204,5,-0.455146118,0.272665081,0.727811199,0.058056776,hypo,0
chr7,140292100,140292387,7,-0.454977753,0.444481796,0.899459548,0.053384473,hypo,0
chr5,172479228,172479871,12,-0.454649613,0.417072837,0.87172245,0.060794119,hypo,0
chr17,73294160,73294624,10,-0.454252888,0.179870485,0.634123373,0.068197804,hypo,0
chr2,114038135,114038339,3,-0.453815084,0.482082542,0.935897626,0.05388311,hypo,0
chr15,85526399,85526706,7,-0.453740216,0.227666301,0.681406517,0.057442527,hypo,0
chr17,3700119,3700281,7,-0.453599374,0.193795923,0.647395297,0.061539473,hypo,0
chr14,103073162,103074629,19,-0.453473201,0.351369406,0.804842607,0.060026552,hypo,0
chr5,150219137,150219297,4,-0.453096449,0.37361091,0.826707359,0.053969786,hypo,0
chr6,169956486,169956576,3,-0.452854952,0.350958799,0.803813751,0.0578389,hypo,0
chr1,52605558,52605994,4,-0.452681976,0.247744033,0.70042601,0.05926277,hypo,0
chr14,22934943,22935090,3,-0.45241979,0.379970033,0.832389822,0.056521311,hypo,0
chr11,66312529,66312671,7,-0.45235381,0.248529771,0.700883581,0.071797903,hypo,0
chr17,18825963,18826717,11,-0.451653929,0.324237129,0.775891058,0.058817215,hypo,0
chr8,3049777,3050140,6,-0.451326121,0.445074576,0.896400697,0.054883063,hypo,0
chr2,28830071,28830856,6,-0.451278686,0.392918609,0.844197295,0.052728243,hypo,0
chr6,16420309,16421545,14,-0.450740269,0.259143217,0.709883486,0.057339259,hypo,0
chr19,2607726,2607793,6,-0.450520468,0.110335729,0.560856197,0.066345413,hypo,0
chr12,117810808,117811232,6,-0.450464165,0.328573574,0.779037739,0.052059319,hypo,0
chr19,39895980,39896302,12,-0.450279886,0.345056943,0.795336829,0.074146901,hypo,0
chr8,98643999,98644692,13,-0.449901483,0.333746419,0.783647902,0.057785744,hypo,0
chr6,167371414,167371755,8,-0.449807917,0.306629771,0.756437688,0.063167819,hypo,0
chr1,226272062,226272237,4,-0.449553219,0.282172278,0.731725497,0.06787129,hypo,0
chr10,134140579,134140781,4,-0.449540777,0.340398188,0.789938965,0.056768813,hypo,0
chr1,155828289,155828732,14,-0.449457912,0.244340211,0.693798123,0.063224482,hypo,0
chr15,23075765,23075942,7,-0.449198559,0.155261547,0.604460106,0.059002552,hypo,0
chr3,5231530,5231579,4,-0.449189627,0.086589482,0.535779109,0.06392333,hypo,0
chr1,180878044,180879030,10,-0.44914278,0.351057649,0.800200429,0.054800539,hypo,0
chr15,67378047,67378203,4,-0.449127598,0.146300647,0.595428245,0.060677389,hypo,0
chr10,132964159,132965782,24,-0.449121725,0.399318926,0.848440651,0.053435631,hypo,0
chr8,101484997,101487092,20,-0.449005377,0.26750041,0.716505787,0.066871408,hypo,0
chr16,88078445,88078480,4,-0.448716452,0.26450331,0.713219762,0.092019917,hypo,0
chr2,8826512,8826734,4,-0.448652349,0.312369779,0.761022128,0.058669559,hypo,0
